id,ten_dau_viec,nhom,phong_chinh,phong_phoi_hop,bat_dau,ket_thuc,trang_thai,so_lan_nhac,ghi_chu,nguon_van_ban,dinh_ky
1,Bổ sung 2 hàng ghế Inox (15 cái) khu chờ hành lang sảnh,hanh_chanh,HCQT,,2025-12-16,2025-12-25,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
2,Loại bỏ tủ đầu giường tại các phòng khám,hanh_chanh,HCQT,,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
3,Thực hiện 5S vị trí để đồ cá nhân NVYT và nước uống,chuyen_mon,Điều dưỡng,,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
4,Rà soát quy cách và vị trí đặt thùng rác,chuyen_mon,KSNK,Điều dưỡng,2025-12-16,2025-12-30,tre_deadline,1,Đã đi khảo sát và lên kế hoạch kiểm soát,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
5,Triển khai in toa thuốc tại nhà thuốc (theo mẫu khu N),quan_ly_khac,KHTH,CNTT,2025-12-16,2026-01-02,tre_deadline,3,Đã lên quy trình đang làm việc với K.Dược CNTT,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
6,Giải phóng máy in phòng khám - chuyển in chỉ định ra ngoài,quan_ly_khac,KHTH,CNTT,2025-12-16,2025-12-30,tre_deadline,1,Đã lên quy trình đang làm việc với K.Dược CNTT KHTH,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
7,Thiết lập trạm CSKH thành điểm in tập trung,quan_ly_khac,CSKH,CNTT,2025-12-16,2026-02-01,da_hoan_thanh,2,Đã làm tờ trình,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
8,Vẽ lại sơ đồ quy trình khám bệnh mới (tối ưu hóa luồng),chuyen_mon,KHTH,Điều dưỡng,2025-12-16,2026-04-15,da_hoan_thanh,1,Đã phối hợp hoàn thành,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
9,Bố trí lại vị trí công việc theo thứ tự tải trọng,hanh_chanh,Điều dưỡng,,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
10,Mở cửa hông cho các phòng khám đông (Nội Ngoại),hanh_chanh,HCQT,,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
11,Điều chỉnh luồng BN Nội/Ngoại đi từ hành lang hướng công viên,hanh_chanh,HCQT,Điều dưỡng,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
12,Đổi vị trí phòng ECG và phòng Siêu âm,chuyen_mon,HCQT,,2025-12-16,2025-12-22,da_hoan_thanh,1,T7 CN chuyển đổi - dự kiến T2 22/12 hoàn thành,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
13,Sắp xếp lại Poster tại phòng ECG (theo chuẩn BVND),chuyen_mon,Điều dưỡng,CTXH,2025-12-16,2025-12-16,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
14,Lắp đặt thêm TV tại khu vực chờ/phòng ECG,hanh_chanh,HCQT,,2025-12-16,2025-12-25,da_hoan_thanh,1,Đã gửi tờ trình,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
15,Rà soát góc truyền thông phòng Soi và Phụ sản,chuyen_mon,Điều dưỡng,CTXH,2025-12-16,2026-12-22,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
16,Thay thế giường Inox bằng bàn khám Inox chuyên dụng (Khám Nhi),hanh_chanh,VTTBYT,Điều dưỡng,2025-12-16,2026-05-12,da_hoan_thanh,1,BS Nhi yêu cầu giữ lại giường Inox cho trẻ lớn,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
17,Di chuyển máy CT cũ (hư) ra khỏi phòng máy,hanh_chanh,VTTBYT,,2025-12-16,2025-12-30,tre_deadline,1,Thực hiện sau ký kết bàn giao với SYT và TTYT,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
18,Thiết kế lại mặt bằng tích hợp CT - X-quang,hanh_chanh,KHTH,HCQT|VTTBYT|BS Bảo Anh,2025-12-16,2025-12-26,tre_deadline,1,Phối hợp khảo sát đảm bảo quy trình chuyên môn,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
19,Đo lường kích thước khu vực WC và hành lang ngoài cho X-quang,hanh_chanh,HCQT,VTTBYT,2025-12-16,2026-03-20,da_hoan_thanh,1,Hoàn thành,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
20,Di dời hệ thống máy xét nghiệm lên Lầu 1,chuyen_mon,VTTBYT,XN,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
21,Thiết lập quy trình lấy máu tại chỗ cho người già/khó di chuyển,chuyen_mon,XN,Điều dưỡng,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
22,Khảo sát phương án thông vách phòng Châm cứu - Massage,hanh_chanh,HCQT,,2025-12-16,2025-12-26,tre_deadline,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
23,Họp thống nhất vấn đề thủ thuật giữa YHCT và PHCT,chuyen_mon,Bs Hoàng,,2025-12-16,2025-12-30,tre_deadline,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
24,Khảo sát tháo dỡ đánh giá tái sử dụng máy lạnh Lầu 1 (Kho Dược),hanh_chanh,HCQT,,2025-12-16,2025-12-19,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
25,Báo cáo xin ý kiến BS Ngọc Hải về phương án tháo máy lạnh,quan_ly_khac,HCQT,,2025-12-16,2025-12-19,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
26,Thiết kế bảng hướng dẫn trong phòng khám,quan_ly_khac,KHTH,,2025-12-16,2025-12-22,tre_deadline,1,Long và Hoài phụ trách,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
27,Thiết kế bảng hướng dẫn luồng xe bệnh nhân,quan_ly_khac,KHTH,,2025-12-16,2025-12-18,tre_deadline,1,Long và Hoài phụ trách,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
28,Rà soát các điều kiện kết nối để được chấp nhận BHYT,quan_ly_khac,KHTH,,2025-12-16,2025-12-30,tre_deadline,1,Bảng VTTBYT đang báo lỗi,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
